Player Name,RAPM,RAPM Rank,ORAPM,ORAPM Rank,DRAPM,DRAPM Rank,Year
Monique Currie,-3.89,138,-2.8,137,-1.09,112,2018
Tanisha Wright,-3.99,139,-2.52,133,-1.47,122,2018
Amanda Zahui B,-4.01,140,-0.29,92,-3.72,154,2018
Camille Little,-4.07,141,-5.02,154,0.95,43,2018
Imani McGee-Stafford,-4.19,142,-4.29,152,0.09,75,2018
Leilani Mitchell,-4.25,143,-4.95,153,0.7,51,2018
Damiris Dantas,-4.3,144,-3.38,143,-0.92,107,2018
Alexis Jones,-4.35,145,-3.44,144,-0.92,106,2018
Leticia Romero,-4.52,146,-0.83,106,-3.7,153,2018
Epiphanny Prince,-4.61,147,-0.61,99,-4.0,156,2018
Tayler Hill,-5.07,148,-5.33,157,0.26,61,2018
Maggie Lucas,-5.08,149,-3.05,140,-2.03,138,2018
Cappie Pondexter,-5.25,150,-2.25,130,-3.0,150,2018
Gabby Williams,-5.25,151,-2.88,139,-2.37,143,2018
Kelsey Bone,-5.87,152,-3.94,151,-1.92,134,2018
Layshia Clarendon,-5.89,153,-3.77,148,-2.12,139,2018
Kelsey Mitchell,-6.02,154,-2.04,127,-3.98,155,2018
Jantel Lavender,-6.73,155,-5.2,156,-1.53,125,2018
Tierra Ruffin-Pratt,-6.98,156,-3.75,147,-3.22,151,2018
Kayla Alexander,-7.94,157,-5.07,155,-2.87,148,2018
